Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.22294351582624475,0.9102040816326531,0.8462823725981621,0.9410815173527038,0.8740293356341674,0.8599320882852292,0.9163156208537874,0.6190476190476191,0.8518518518518519,0.4444444444444444,0.5348837209302325,0.6571428571428571
2,0.08516168582246822,0.9725170068027211,0.9540517961570593,0.9814366424535916,0.9612794612794613,0.9576519916142557,1.4754060185144817,0.5396825396825397,0.9629629629629629,0.2222222222222222,0.48148148148148145,0.6419753086419753
3,0.05384179742791417,0.9844897959183674,0.9724310776942355,0.9903147699757869,0.9797979797979798,0.9761006289308176,1.309140075766851,0.6190476190476191,0.9629629629629629,0.3611111111111111,0.5306122448979592,0.6842105263157895
4,0.03224801018593364,0.9926530612244898,0.9916457811194653,0.9931396287328491,0.9858803986710963,0.9887546855476884,1.6511557840165638,0.6031746031746031,0.9629629629629629,0.3333333333333333,0.52,0.6753246753246753
5,0.025889323181060908,0.9899319727891156,0.9824561403508771,0.993543179983858,0.9865771812080537,0.9845123482628715,1.3948583546138944,0.5873015873015873,0.8518518518518519,0.3888888888888889,0.5111111111111111,0.6388888888888888
6,0.020689071490853823,0.9931972789115646,0.9883040935672515,0.9955609362389023,0.990787269681742,0.9895441237975743,2.1040840792277504,0.5714285714285714,1.0,0.25,0.5,0.6666666666666666
7,0.020124360829034224,0.9945578231292517,0.9916457811194653,0.9959644874899112,0.9916457811194653,0.9916457811194653,1.8737014815920876,0.6507936507936508,1.0,0.3888888888888889,0.5510204081632653,0.7105263157894737
8,0.011859354671901788,0.9964625850340136,0.9941520467836257,0.9975786924939467,0.9949832775919732,0.9945674885081488,1.4313184590566725,0.6507936507936508,0.9259259259259259,0.4444444444444444,0.5555555555555556,0.6944444444444444
9,0.015818515088295147,0.9948299319727891,0.9916457811194653,0.9963680387409201,0.9924749163879598,0.9920601755119097,1.5653525685507155,0.6190476190476191,1.0,0.3333333333333333,0.5294117647058824,0.6923076923076923
10,0.013054578521171725,0.996734693877551,0.9933166248955723,0.9983857949959645,0.9966471081307627,0.994979079497908,2.629951658703032,0.5714285714285714,1.0,0.25,0.5,0.6666666666666666
11,0.4032579331342964,0.8230880230880231,0.7489177489177489,0.8725348725348725,0.7966231772831927,0.7720342134622536,0.3756122097136482,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
12,0.33946650692222785,0.8591630591630591,0.7929292929292929,0.9033189033189033,0.8453846153846154,0.8183172002978406,0.30484811985303484,0.9047619047619048,0.9259259259259259,0.8888888888888888,0.8620689655172413,0.8928571428571429
13,0.3046727360595786,0.8724386724386725,0.8091630591630592,0.9146224146224147,0.863356428021555,0.8353817504655493,0.3373451540394435,0.8571428571428571,0.9259259259259259,0.8055555555555556,0.78125,0.847457627118644
14,0.2827777811115094,0.887012987012987,0.8297258297258298,0.9252044252044253,0.8808885484488702,0.8545420769087869,0.2889098839627372,0.9047619047619048,0.8888888888888888,0.9166666666666666,0.8888888888888888,0.8888888888888888
15,0.24447038534055712,0.9036075036075036,0.8571428571428571,0.9345839345839346,0.8972809667673716,0.8767527675276753,0.44273277927958776,0.8095238095238095,0.8518518518518519,0.7777777777777778,0.7419354838709677,0.7931034482758621
16,0.21246432122730075,0.915007215007215,0.8701298701298701,0.944925444925445,0.9132904202953427,0.8911878810271568,0.4036917154278074,0.8412698412698413,0.8888888888888888,0.8055555555555556,0.7741935483870968,0.8275862068965517
17,0.17957810234724617,0.9304473304473304,0.8906926406926406,0.956950456950457,0.9324018126888217,0.911070110701107,0.36519093196543434,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8727272727272727
18,0.1502065168019024,0.9437229437229437,0.9145021645021645,0.9632034632034632,0.9430803571428571,0.9285714285714286,0.521042938270266,0.7936507936507936,0.8148148148148148,0.7777777777777778,0.7333333333333333,0.7719298245614035
19,0.12829721084275802,0.9510822510822511,0.9274891774891775,0.9668109668109668,0.9490586932447398,0.9381499726327313,0.6319518439353459,0.7777777777777778,0.8148148148148148,0.75,0.7096774193548387,0.7586206896551724
20,0.10340577648014561,0.961038961038961,0.9466089466089466,0.9706589706589707,0.9555717407137655,0.9510692279811526,0.60963636116376,0.8095238095238095,0.8888888888888888,0.75,0.7272727272727273,0.8
