Epoch,Loss,Accuracy,Sensitivity,Specificity,Precision,F1,Validation Loss,Validation Accuracy,Validation Sensitivity,Validation Specificity,Validation Precision,Validation F1
1,0.020094504867336667,0.9929251700680272,0.9899749373433584,0.9943502824858758,0.9883236030025021,0.9891485809682805,0.7191682852996838,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
2,0.006640089211358251,0.9983673469387755,0.9974937343358395,0.9987893462469734,0.9974937343358395,0.9974937343358395,0.869306416468813,0.8412698412698413,1.0,0.7222222222222222,0.7297297297297297,0.84375
3,0.005517773163951553,0.9980952380952381,0.9966583124477861,0.9987893462469734,0.9974916387959866,0.9970748015043878,3.2170760782938155,0.5555555555555556,1.0,0.2222222222222222,0.4909090909090909,0.6585365853658537
4,0.008824806725568705,0.9983673469387755,0.9966583124477861,0.9991928974979822,0.998326359832636,0.9974916387959866,1.0517882847981084,0.746031746031746,0.9629629629629629,0.5833333333333334,0.6341463414634146,0.7647058823529411
5,0.00974211011310013,0.9978231292517007,0.9958228905597326,0.9987893462469734,0.9974895397489539,0.9966555183946488,0.9131640446121021,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
6,0.0004348891661886512,1.0,1.0,1.0,1.0,1.0,1.101170366511695,0.8095238095238095,0.9629629629629629,0.6944444444444444,0.7027027027027027,0.8125
7,0.00023430691771826953,1.0,1.0,1.0,1.0,1.0,1.1719616745997752,0.8253968253968254,0.9629629629629629,0.7222222222222222,0.7222222222222222,0.8253968253968254
8,0.0001798220084771058,1.0,1.0,1.0,1.0,1.0,1.4435273619841724,0.7936507936507936,0.9629629629629629,0.6666666666666666,0.6842105263157895,0.8
9,0.004867149758163355,0.9989115646258503,0.9983291562238931,0.9991928974979822,0.9983291562238931,0.9983291562238931,0.30406190185171983,0.9365079365079365,0.9629629629629629,0.9166666666666666,0.896551724137931,0.9285714285714286
10,0.012047481024067622,0.9961904761904762,0.9924812030075187,0.9979822437449556,0.9958088851634534,0.994142259414226,1.3656046352689228,0.746031746031746,0.9629629629629629,0.5833333333333334,0.6341463414634146,0.7647058823529411
11,0.004082788161269776,0.9989115646258503,0.9983291562238931,0.9991928974979822,0.9983291562238931,0.9983291562238931,1.3013968823388928,0.7619047619047619,0.9629629629629629,0.6111111111111112,0.65,0.7761194029850746
12,0.223026047437351,0.9144300144300145,0.8712121212121212,0.9432419432419432,0.9109769898151641,0.8906509312188825,0.22635324914304036,0.9365079365079365,0.9629629629629629,0.9166666666666666,0.896551724137931,0.9285714285714286
13,0.01141000768408927,0.9970068027210884,0.9949874686716792,0.9979822437449556,0.995819397993311,0.9954032595068951,0.3958255976645483,0.873015873015873,0.9629629629629629,0.8055555555555556,0.7878787878787878,0.8666666666666667
14,0.005238975856633743,0.9989115646258503,0.9974937343358395,0.9995964487489911,0.999163179916318,0.9983277591973244,0.35188073845254997,0.9047619047619048,0.9629629629629629,0.8611111111111112,0.8387096774193549,0.896551724137931
15,0.0022771485187556774,0.9994557823129252,0.9983291562238931,1.0,1.0,0.9991638795986622,0.7899260254177664,0.8253968253968254,1.0,0.6944444444444444,0.7105263157894737,0.8307692307692308
16,0.0006481637346532931,1.0,1.0,1.0,1.0,1.0,1.018704718353951,0.7777777777777778,0.9629629629629629,0.6388888888888888,0.6666666666666666,0.7878787878787878
17,0.0009812431027368344,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,0.9327286896221931,0.8095238095238095,1.0,0.6666666666666666,0.6923076923076923,0.8181818181818182
18,0.0005608616814850417,1.0,1.0,1.0,1.0,1.0,0.5086275926016878,0.9206349206349206,1.0,0.8611111111111112,0.84375,0.9152542372881356
19,0.00027566926995055516,1.0,1.0,1.0,1.0,1.0,0.5993991657252615,0.9047619047619048,1.0,0.8333333333333334,0.8181818181818182,0.9
20,0.00014350582797992596,1.0,1.0,1.0,1.0,1.0,0.7217128648005041,0.8888888888888888,1.0,0.8055555555555556,0.7941176470588235,0.8852459016393442
21,0.18761905448909036,0.929004329004329,0.9087301587301587,0.9425204425204425,0.9133430021754895,0.9110307414104882,0.2763585972170981,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8571428571428571,0.8727272727272727
22,0.007355434262592877,0.998639455782313,0.9983291562238931,0.9987893462469734,0.9974958263772955,0.9979123173277662,0.40436671383028466,0.8571428571428571,0.8888888888888888,0.8333333333333334,0.8,0.8421052631578947
23,0.07796859339559599,0.9705627705627705,0.95995670995671,0.9776334776334776,0.9662309368191722,0.9630836047774158,0.4955319693045957,0.873015873015873,0.9629629629629629,0.8055555555555556,0.7878787878787878,0.8666666666666667
24,0.006383965076644253,0.9983673469387755,0.9974937343358395,0.9987893462469734,0.9974937343358395,0.9974937343358395,0.7212002946152574,0.8412698412698413,0.9629629629629629,0.75,0.7428571428571429,0.8387096774193549
25,0.0012007641537767537,0.9997278911564625,0.9991645781119465,1.0,1.0,0.9995821145006268,0.8175067293683126,0.8412698412698413,0.9259259259259259,0.7777777777777778,0.7575757575757576,0.8333333333333334
